Age,Sex,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsivness,Sensation Seeing,Alcohol,Amphetamines,Amyl Nitrite,Benzodiazepine,Caffeine,Canabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methadone,Mushrooms,Nicotine,Semer,VSA
25-34,Male,Left school at 18 years,USA,White,Average,Average,Average,High,Average,Average,Average,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
18-24,Female,University degree,UK,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,"Some college or university, no certificate or degree",UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Week,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
35-44,Female,University degree,UK,White,High,Low,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,University degree,UK,White,Low,Average,Low,Low,Average,Average,Average,Used in Last Year,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
45-54,Female,University degree,UK,White,Average,Low,Low,High,Average,Low,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,Average,Average,Average,Low,Average,Average,Used in Last Day,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
45-54,Female,University degree,UK,White,Low,High,Average,Average,High,Low,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Low,Average,Low,High,Low,Low,Low,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55+,Male,University degree,UK,White,Average,Average,Average,Average,Low,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,High,Average,Low,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,Masters degree,UK,White,Average,Average,High,Average,Average,High,Average,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
35-44,Female,Masters degree,UK,White,Average,Average,Average,Average,High,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,Doctorate degree,UK,Mixed-White/Asian,Average,Average,High,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Female,Left school before 18 years,UK,White,Average,Low,Low,Low,Low,Low,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,University degree,UK,White,Average,Low,Low,Average,Average,Low,Low,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Female,University degree,UK,Other,Average,Average,Average,Average,Average,Average,Average,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,University degree,UK,White,High,Average,Average,High,Average,Low,Average,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,University degree,UK,White,Low,Average,Average,Low,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Masters degree,UK,White,High,Low,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Doctorate degree,UK,White,Average,Average,Average,Average,Average,Low,Average,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,Masters degree,UK,White,Average,Average,Average,Low,Average,High,Average,Used in Last Year,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",UK,White,High,Average,High,High,Average,High,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Female,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,Left school before 18 years,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Masters degree,UK,White,High,Average,Average,Low,Low,High,High,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
35-44,Female,Professional certificate/ diploma,UK,White,Average,Low,Average,Average,Average,Low,Low,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,University degree,UK,White,Average,Average,Low,Low,Average,Average,Average,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Masters degree,UK,White,Average,Average,Average,High,Average,Low,Average,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
25-34,Female,Professional certificate/ diploma,UK,White,Low,Average,Low,Average,Average,Average,Average,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used
55+,Female,University degree,UK,White,Average,Average,Average,Average,Average,Average,Low,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Female,"Some college or university, no certificate or degree",Other,White,High,Average,Low,Average,Low,Average,Low,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Male,Doctorate degree,Other,White,High,Average,Average,Low,Average,Average,Average,Used in Last Month,Never Used,Never Used,Used over a Decade Ago,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used over a Decade Ago
35-44,Female,Masters degree,UK,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Low,Average,Low,Average,High,Average,Average,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Week,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,High,Average,Average,Low,Average,High,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Week,Used in Last Decade,Never Used,Used in Last Week,Never Used,Never Used
